ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"1.5T Furnace Dual Track, 1800Kw",Inductotherm,20000000.00,400000.00,,20400000.00,10.00,2400000.00,18000000.00,1800000.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1958400.00,408000.00,204000.00,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,723.8,35,759.21,12.65,9000000,1563,26,0.49
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,10000000.00,200000.00,,10200000.00,10,1200000.00,9000000.00,900000.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,979200,204000,102000,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,361.9,18,379.61,6.33,9000000,1563,26,0.24
3,"Moulding, Demoulding & Cutting",ARPA Horizontal,Size 650*600*250/2,DISA,42481000,849620,,43330620,10,5097720,38232900,3823290,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4159739.52,866612.4,433306.2,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,1992.8,75,2068.12,34.47,9000000,1563,26,1.32
4,"Moulding, Demoulding & Cutting",ARPA Horizontal,Size 650*600*250/2,DISA,42481000,849620,,43330620,10,5097720,38232900,3823290,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4159739.52,866612.4,433306.2,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,1992.8,75,2068.12,34.47,9000000,1563,26,1.32
5,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,2000000,40000,,2040000,10,240000,1800000,180000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,195840,40800,61200,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,468.0,11,478.67,7.98,9000000,1563,26,0.31
6,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,3000000,60000,,3060000,10,360000,2700000,270000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,293760,61200,91800,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,209.5,16,225.44,3.76,9000000,1563,26,0.14
7,Lab & Equipment,,,,1500000,30000,,1530000,10,180000,1350000,135000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,146880,30600,45900,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,90.6,8,98.59,1.64,9000000,1563,26,0.06
8,Utilities & Civil,,,,22000000,440000,,22440000,10,2640000,19800000,1980000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,2154240,224400,224400,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,807.1,39,846.04,14.10,9000000,1563,26,0.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
