ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"4T Furnace Dual Track, 3000Kw",Inductotherm,45456700.00,909134.00,,46365834.00,10.00,5454804.00,40911030.00,4091103.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4451120.06,927316.68,463658.34,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1645.0,81,1725.54,28.76,24000000,4169,69,0.41
1,Melting,Induction Furnace,"4T Furnace Dual Track, 3000Kw",Inductotherm,45456700.00,909134.00,,46365834.00,10.00,5454804.00,40911030.00,4091103.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4451120.06,927316.68,463658.34,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1645.0,81,1725.54,28.76,24000000,4169,69,0.41
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,95000000,1900000,,96900000,10,11400000,85500000,8550000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,9302400,1938000,969000,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,3437.9,168,3606.19,60.10,24000000,4169,69,0.86
3,"Moulding, Demoulding & Cutting",DISA Horizontal ,Size 900*600*250/2,DISA,146600000,2932000,,149532000,10,17592000,131940000,13194000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,14355072,2990640,1495320,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,5760.7,260,6020.45,100.34,24000000,4169,69,1.44
3,"Moulding, Demoulding & Cutting",DISA Horizontal ,Size 900*600*250/2,DISA,136600000,2732000,,139332000,10,16392000,122940000,12294000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,13375872,2786640,1393320,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,5398.8,242,5640.85,94.01,24000000,4169,69,1.35
4,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,16952000,339040,,17291040,10,2034240,15256800,1525680,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1659939.84,345820.8,518731.2,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,1009.1,90,1099.23,18.32,24000000,4169,69,0.26
5,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,4050000,81000,,4131000,10,486000,3645000,364500,54,10,301,3,6772.5,0.85,5757,0.12,0.8,396576,82620,123930,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,247.5,22,269.02,4.48,24000000,4169,69,0.06
6,Lab & Equipment,,,,5000000,100000,,5100000,10,600000,4500000,450000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,489600,102000,153000,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,217.3,27,243.85,4.06,24000000,4169,69,0.06
7,Utilities & Civil,,,,72200000,1444000,,73644000,10,8664000,64980000,6498000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,7069824,736440,736440,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,2534.7,128,2662.67,44.38,24000000,4169,69,0.64
