ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"1.5T Furnace Dual Track, 1800Kw",Inductotherm,30000000.00,600000.00,,30600000.00,10.00,3600000.00,27000000.00,2700000.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,2937600.00,612000.00,306000.00,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1085.6,53,1138.80285062862,18.9800475104771,12000000,2085,35,0.55
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,20000000,400000,,20400000,10,2400000,18000000,1800000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1958400,408000,204000,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,723.8,35,759.207973421927,12.6534662236988,12000000,2085,35,0.36
3,"Moulding, Demoulding & Cutting",DISA Horizontal ,Size 900*600*250/2,DISA,70000000,1400000,,71400000,10,8400000,63000000,6300000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,6854400,1428000,714000,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,2988.7,124,3112.73136603479,51.8788561005798,12000000,2085,35,1.49
4,"Moulding, Demoulding & Cutting",ARPA Horizontal,Size 650*600*250/2,DISA,42481000,849620,,43330620,10,5097720,38232900,3823290,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4159740,866612,433306,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,1992.8,75,2068.11722493649,34.4686204156081,12000000,2085,35,0.99
5,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,3000000,60000,,3060000,10,360000,2700000,270000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,293760,61200,91800,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,504.2,16,520.172288450264,8.66953814083773,12000000,2085,35,0.25
6,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,3000000,60000,,3060000,10,360000,2700000,270000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,293760,61200,91800,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,209.5,16,225.444596443228,3.75740994072047,12000000,2085,35,0.11
7,Lab & Equipment,,,,3000000,60000,,3060000,10,360000,2700000,270000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,293760,61200,91800,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,144.9,16,160.846746140317,2.68077910233861,12000000,2085,35,0.08
8,Utilities & Civil,,,,52000000,1040000,,53040000,10,6240000,46800000,4680000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,5091840,530400,530400,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,1839.5,92,1931.6755911667,32.1945931861117,12000000,2085,35,0.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
