ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"1T Furnace Dual Track, 1800Kw",Inductotherm,4000000.00,80000.00,,4080000.00,10.00,480000.00,3600000.00,360000.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,391680.00,81600.00,40800.00,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,144.8,7,151.849557683539,2.53082596139231,3600000,625,10,0.24
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,2500000,50000,,2550000,10,300000,2250000,225000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,244800,51000,25500,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,90.5,4,94.912487785812,1.5818747964302,3600000,625,10,0.15
4,"Moulding, Demoulding & Cutting",ARPA Horizontal,Size 650*600*250/2,DISA,18481000,369620,,18850620,10,2217720,16632900,1663290,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1809660,377012,188506,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,1124.3,33,1157.0834160641,19.2847236010683,3600000,625,10,1.85
5,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,800000,16000,,816000,10,96000,720000,72000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,78336,16320,24480,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,424.6,4,428.864621197316,7.14774368662194,3600000,625,10,0.69
6,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,2000000,40000,,2040000,10,240000,1800000,180000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,195840,40800,61200,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,173.3,11,183.941111328252,3.0656851888042,3600000,625,10,0.29
7,Lab & Equipment,,,,1000000,20000,,1020000,10,120000,900000,90000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,97920,20400,30600,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,72.5,5,77.8397759103642,1.29732959850607,3600000,625,10,0.12
8,Utilities & Civil,,,,12000000,240000,,12240000,10,1440000,10800000,1080000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1175040,122400,122400,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,462.9,21,484.160771285258,8.06934618808764,3600000,625,10,0.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
