ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"3T Furnace Dual Track, 2500Kw",Inductotherm,30456700.00,609134.00,,31065834.00,10.00,3654804.00,27411030.00,2741103.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,2982320.06,621316.68,310658.34,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1102.2,54,1156.14,19.27,18000000,3127,52,0.37
1,Melting,Induction Furnace,"3T Furnace Dual Track, 2500Kw",Inductotherm,30456700.00,609134.00,,31065834.00,10.00,3654804.00,27411030.00,2741103.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,2982320.06,621316.68,310658.34,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1102.2,54,1156.14,19.27,18000000,3127,52,0.37
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,40055000,801100,,40856100,10,4806600,36049500,3604950,54,10,301,3,6772.5,0.85,5757,0.12,0.8,3922185.6,817122,408561,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,1449.5,71,1520.49,25.34,18000000,3127,52,0.49
3,"Moulding, Demoulding & Cutting",DISA Horizontal ,Size 610*508*200/2,DISA,90000000,1800000,,91800000,10,10800000,81000000,8100000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,8812800,1836000,918000,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,3712.5,159,3871.93,64.53,18000000,3127,52,1.24
3,"Moulding, Demoulding & Cutting",DISA Horizontal ,Size 610*508*200/2,DISA,90000000,1800000,,91800000,10,10800000,81000000,8100000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,8812800,1836000,918000,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,3712.5,159,3871.93,64.53,18000000,3127,52,1.24
4,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,3000000,60000,,3060000,10,360000,2700000,270000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,293760,61200,91800,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,504.2,16,520.17,8.67,18000000,3127,52,0.17
5,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,4050000,81000,,4131000,10,486000,3645000,364500,54,10,301,3,6772.5,0.85,5757,0.12,0.8,396576,82620,123930,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,247.5,22,269.02,4.48,18000000,3127,52,0.09
6,Lab & Equipment,,,,5000000,100000,,5100000,10,600000,4500000,450000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,489600,102000,153000,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,217.3,27,243.85,4.06,18000000,3127,52,0.08
7,Utilities & Civil,,,,54500000,1090000,,55590000,10,6540000,49050000,4905000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,5336640,555900,555900,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,1925.6,97,2022.15,33.70,18000000,3127,52,0.65
