ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"4T Furnace Dual Track, 3000Kw",Inductotherm,48456700.00,969134.00,,49425834.00,10.00,5814804.00,#NAME?,#NAME?,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4744880.064,988516.68,494258.34,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,#NAME?,86,#NAME?,#NAME?,18000000,3127,52,#NAME?
1,Melting,Induction Furnace,"4T Furnace Dual Track, 3000Kw",Inductotherm,48456700.00,969134.00,,49425834.00,10.00,5814804.00,43611030.00,4361103.00,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4744880.064,988516.68,494258.34,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1753.6,86,1839.41,30.66,18000000,3127,52,0.59
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,83945000,1678900,,85623900,10,10073400,75550500,7555050,54,10,301,3,6772.5,0.85,5757,0.12,0.8,8219894.4,1712478,856239,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,3037.8,149,3186.54,53.11,18000000,3127,52,1.02
3,"Moulding, Demoulding & Cutting",DISA Vertical,Size 600*480*200/2,DISA,110993775,2219875.5,,113213650.5,10,13319253,99894397.5,9989439.75,54,10,301,3,6772.5,0.85,5757,0.12,0.8,10868510.45,2264273.01,1132136.505,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,4472.2,197,4668.84,77.81,18000000,3127,52,1.49
3,"Moulding, Demoulding & Cutting",DISA Vertical,Size 600*480*200/2,DISA,110993775,2219875.5,,113213650.5,10,13319253,99894397.5,9989439.75,54,10,301,3,6772.5,0.85,5757,0.12,0.8,10868510.45,2264273.01,1132136.505,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,4472.2,197,4668.84,77.81,18000000,3127,52,1.49
4,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,18952000,379040,,19331040,10,2274240,17056800,1705680,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1855779.84,386620.8,579931.2,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,1081.5,101,1182.24,19.70,18000000,3127,52,0.38
5,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,4050000,81000,,4131000,10,486000,3645000,364500,54,10,301,3,6772.5,0.85,5757,0.12,0.8,396576,82620,123930,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,247.5,22,269.02,4.48,18000000,3127,52,0.09
6,Lab & Equipment,,,,5000000,100000,,5100000,10,600000,4500000,450000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,489600,102000,153000,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,217.3,27,243.85,4.06,18000000,3127,52,0.08
7,Utilities & Civil,,,,82200000,1644000,,83844000,10,9864000,73980000,7398000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,8049024,838440,838440,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,2878.9,146,3024.55,50.41,18000000,3127,52,0.97
