ID,spec_process,spec_machine_used,spec_description,spec_make,investment_machine_cost,investment_ installation_cost,investment_other_cost,investment_total_machine_cost,investment_machine_life,investment_disposal_value,investment_mhr_machine_cost,investment_machine_cost_year,working_days_week_holidays,working_days_national_holidays,working_days_per_year,working_days_shift,working_days_hours_per_year,working_capacity_efficiency,working_machine_uptime_year,interest_charge_rate_of_interest,interest_charge_loan,interest_charge_cost,interest_charge_maintenance,interest_charge_consumables,space_machine_length,space_machine_breadth,space_area,space_cost,space_cost_per_year,direct_labour_salary_per_month,direct_labour_utilisation,direct_labour_supervisor,direct_labour_salary1_per_month,direct_labour_utilisation1,direct_labour_cost,mhr_FIX,mhr_VAR,MHR,mhr_MMR,good_casting_pro_year,good_casting_prod_hour,good_casting_prod_min,good_casting_cost
1,Melting,Induction Furnace,"3T Furnace Dual Track, 2500Kw",Inductotherm,47045340.00,940906.80,,47986246.80,10.00,5645440.80,42340806.00,4234080.60,54,10,301,3,6772.5,0.85,5757,0.12,0.8,4606679.693,959724.936,479862.468,31.75,8,254,5.08,60.96,15000,0.1,,30000,0.1,0,1702.5,83,1785.84,29.76,18000000,3127,52,0.57
2,Sand Prepartaion,Sand Plant,Intensive Sand Mixer,DISA,81500000,1630000,,83130000,10,9780000,73350000,7335000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,7980480,1662600,831300,35,9,315,6.3,75.6,15000,0.1,,30000,0.1,0,2949.3,144,3093.73,51.56,18000000,3127,52,0.99
3,"Moulding, Demoulding & Cutting",DISA Horizontal ,Size 900*600*250/2,DISA,161748000,3234960,,164982960,10,19409760,145573200,14557320,54,10,301,3,6772.5,0.85,5757,0.12,0.8,15838364.16,3299659.2,1649829.6,67.7,15,1015.5,218535.6,2622427.2,15000,0.1,,30000,0.1,0,6308.9,287,6595.46,109.92,18000000,3127,52,2.11
4,Shot Blasting (Primary + Secondary),Hanger Type Continuous,1MT per Cycle Hanger type,DISA,18400000,368000,,18768000,10,2208000,16560000,1656000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,1801728,375360,563040,44.1,20,882,189806.4,2277676.8,15000,0.1,,30000,0.1,0,1061.5,98,1159.33,19.32,18000000,3127,52,0.37
5,Core Making,Core Shooter,"Cold Box core, oven, Sand dryers,Painting tank etc",Susha/Compax,7000000,140000,,7140000,10,840000,6300000,630000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,685440,142800,214200,25,9,225,48420,581040,15000,0.1,,30000,0.1,0,354.2,37,391.46,6.52,18000000,3127,52,0.13
6,Lab & Equipment,,,,5000000,100000,,5100000,10,600000,4500000,450000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,489600,102000,153000,9,9,81,17431.2,209174.4,15000,0.1,,30000,0.1,0,217.3,27,243.85,4.06,18000000,3127,52,0.08
7,Utilities & Civil,,,,82200000,1644000,,83844000,10,9864000,73980000,7398000,54,10,301,3,6772.5,0.85,5757,0.12,0.8,8049024,838440,838440,22.25,5,111.25,23941,287292,15000,0.1,,30000,0.1,0,2878.9,146,3024.55,50.41,18000000,3127,52,0.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
